Corto Plazo,Casa con Hipoteca,Casa Propia,Monto de prestamo,Valor de credito,Ingreso Anual,Años en trabajo actual,Deuda Mensual,Historial Crediticio,Meses desde la ultima mora,Numero de cuentas abiertas,Nro de problemas crediticios,Balance de credito actual,Maximo monto de credito,Quiebras,Gravamenes fiscales
0,1,0,99999999,726,1159038,10,6297.36,11,34.97417954,5,0,275861,489918,0,0
0,1,0,65208,1130.805251,1375928.88,4,2440.55,6.6,34.97417954,5,0,99256,401852,0,0
0,0,0,335390,1130.805251,1375928.88,5,20072.36,17.5,58,9,0,120156,190080,0,0
0,1,0,440352,694,2086447,10,13509.76,18.7,34.97417954,7,0,130606,213026,0,0
0,0,0,99999999,655,1263652,10,25378.49,20.2,22,4,0,136306,195822,0,0
0,0,0,99999999,741,1622106,10,12476.73,23,7,7,0,162412,439406,0,0
0,0,0,144012,713,2391872,10,10942.86,10,34.97417954,5,0,113658,163900,0,0
0,1,0,99999999,751,1157898,10,11559.6,29.4,34.97417954,10,0,93689,1937254,0,0
0,0,0,110594,706,1241555,6,8918.41,10.2,32,11,1,3249,751960,1,0
1,1,0,679448,601,1858390,10,42897.82,18.5,27,11,0,616702,1024496,0,0
0,1,0,79134,748,1177183,6,16186.1,18.2,71,11,0,429970,762432,0,0
1,1,0,456830,737,2286023,10,33909.3,24,34.97417954,10,0,732602,1368202,0,0
0,1,0,99999999,728,771400,10,1600.75,15.8,10,3,0,463391,0,0,0
0,0,0,107756,746,1181762,5,22059.57,14.4,46,11,0,67906,275924,0,0
0,1,0,177980,725,1717790,3,7472.32,14.5,75,8,0,74917,407264,0,0
0,1,0,264352,749,2282964,1,17749.99,20.5,23,17,0,506540,3390244,0,0
0,0,0,126588,1130.805251,1375928.88,10,10875.6,10.3,61,8,0,67754,321574,0,0
0,0,0,67012,1130.805251,1375928.88,1,15607.74,18.1,6,11,0,33668,302170,0,0
0,0,0,330792,1130.805251,1375928.88,5,9798.87,11.4,34.97417954,12,0,182970,394526,0,0
1,0,0,276870,710,1848377,1,12291.67,28,19,6,0,43320,57134,0,0
0,0,0,434060,746,937175,1,468.54,10.6,34.97417954,5,0,4807,505098,0,0
0,0,0,276716,733,2239378,10,1828.75,13.6,61,23,2,15941,710072,0,2
1,1,0,255486,669,783712,6,12278.18,8.9,34.97417954,5,0,95418,164186,0,0
0,0,0,301400,1130.805251,1375928.88,4,9782.53,10.6,34.97417954,7,0,72485,208758,0,0
0,0,0,266882,1130.805251,1375928.88,10,15462.96,14.6,8,9,0,93860,252164,0,0
0,1,0,52470,691,981882,1,28474.35,11.5,15,21,0,55214,163922,0,0
0,0,0,121484,685,759544,8,18608.79,8.8,34.97417954,14,0,149321,255024,0,0
1,1,0,324566,718,1829757,3,8676.16,12.4,34,7,0,192356,462088,0,0
0,0,0,88836,703,901493,5,23588.69,14,34.97417954,10,0,150233,273108,0,0
0,0,0,265166,1130.805251,1375928.88,4,440.8,9.3,34.97417954,3,0,7087,26532,0,0
0,0,0,181918,734,710733,1,8055.05,14.9,54,14,0,113031,188298,0,0
1,1,0,95810,740,758271,10,12543.04,15.1,34.97417954,9,0,89775,380798,0,0
0,0,0,99999999,744,696825,6,12194.39,11.7,71,13,0,72523,309870,0,0
0,0,0,159698,1130.805251,1375928.88,2,11697.92,11,34.97417954,7,0,136591,467962,0,0
0,1,0,313830,742,1451942,2,23001.21,22,34.97417954,8,1,213750,12374648,1,0
0,0,0,66264,740,1533870,7,30293.79,26.9,80,8,0,340138,594022,0,0
1,0,0,417494,640,1690164,4,15070.61,9.1,34.97417954,4,0,231040,313258,0,0
0,0,0,99999999,735,623656,4,7629.26,23,34,4,0,52516,66594,0,0
0,0,0,219626,715,910442,10,6395.97,14.5,34.97417954,6,0,194484,292050,0,0
0,0,0,33022,720,711094,3,2127.43,11.4,34.97417954,6,0,65683,129800,0,0
0,1,0,65648,705,3004394,10,56332.15,31.8,24,25,0,347947,612282,0,0
0,0,0,87142,678,752552,6,2916.12,8.2,34.97417954,6,0,90307,222970,0,0
0,1,0,67496,728,1165764,5,14183.5,21.3,36,20,0,138282,389554,0,0
0,0,0,134068,697,521056,6,10811.95,10,9,15,0,46968,98340,0,0
0,1,0,147972,725,578721,7,10802.83,21.9,34.97417954,14,0,389367,784080,0,0
0,0,0,109736,725,3616593,9,40385.45,16.4,19,11,0,255835,524282,0,0
0,1,0,78782,744,3110528,10,24521.21,19.3,47,9,0,417259,578600,0,0
0,0,0,173866,716,694488,4,10417.32,13.8,50,27,0,103170,422158,0,0
0,0,0,130064,736,936035,3,8658.3,16,34.97417954,9,0,140106,318714,0,0
0,1,0,99999999,644,1337847,1,19733.21,12.5,34.97417954,8,0,189772,216920,0,0
0,1,0,130702,749,902975,3,13619.77,26,34.97417954,8,0,578512,1316018,0,0
0,0,0,224840,1130.805251,1375928.88,10,7242.99,13,34.97417954,3,0,12141,286792,0,0
0,0,0,40568,714,600324,2,15408.24,32.3,34.97417954,7,1,72732,161964,1,0
0,0,0,65054,723,1123470,10,31831.65,20.1,34.97417954,15,1,279034,414216,1,0
1,0,0,320848,1130.805251,1375928.88,2,7733.38,10.5,34.97417954,8,0,130093,780428,0,0
1,0,0,197912,1130.805251,1375928.88,4,14624.11,9,34.97417954,7,0,153102,276980,0,0
0,0,0,99999999,747,1060162,1,10336.57,8.2,34.97417954,6,0,45657,403612,0,0
0,1,0,107470,715,676780,1,13648.08,23.3,20,8,0,201039,324676,0,0
0,0,0,450648,735,1751382,4,23789.52,15.4,34.97417954,15,0,423567,1030348,0,0
0,0,0,157080,7280,279072,2,697.68,10.5,34.97417954,6,0,66842,392876,0,0
0,0,0,99999999,745,1264279,10,9650.67,16.8,34.97417954,4,0,41971,101266,0,0
0,0,0,99999999,703,1421827,10,29017.18,18.9,17,10,0,779532,932448,0,0
0,0,0,207240,747,1118682,4,19166.82,27.4,34.97417954,8,0,621927,794860,0,0
0,1,0,299090,671,834746,6,22955.23,14.1,10,7,0,118560,189068,0,0
0,1,0,322146,729,1738899,10,36516.86,29.1,34.97417954,16,0,1181116,1620388,0,0
0,0,0,33748,706,738530,2,640.11,13.2,34.97417954,4,0,34618,67452,0,0
0,1,0,99999999,717,850041,2,18842.68,19.2,34.97417954,8,0,130568,277376,0,0
0,0,0,432652,7330,1307789,1,22123.41,11.9,31,15,0,261706,356906,0,0
0,0,0,99999999,738,1668314,4,25761.72,31.4,66,16,0,527345,733040,0,0
0,0,0,148324,744,881467,10,12340.5,17.5,32,10,0,2793,104016,0,0
0,0,0,118976,1130.805251,1375928.88,1,14827.98,10,34.97417954,7,0,82536,218680,0,0
1,1,0,447832,627,1450365,10,9052.74,18.4,28,8,0,106856,170192,0,0
0,0,1,39160,733,221046,3,3400.62,22.5,51,10,0,49039,98428,0,0
0,1,0,55000,704,949905,2,13377.9,16.5,34.97417954,6,0,403047,582626,0,0
0,1,0,99999999,708,1668276,8,15153.45,17.6,43,11,1,310023,409772,1,0
0,0,0,198572,1130.805251,1375928.88,2,23134.78,15.9,34.97417954,6,0,30020,149798,0,0
0,0,1,99999999,672,964098,4,17192.91,15.5,30,9,0,33193,55858,0,0
0,0,0,32692,703,584250,1,8393.82,11.1,34.97417954,6,0,15314,18040,0,0
0,0,0,350592,750,1419300,6,15848.85,25.5,34.97417954,8,0,224466,2259972,0,0
0,0,0,87780,689,890853,10,9606.4,11.3,72,3,0,46930,54890,0,0
0,0,0,65978,1130.805251,1375928.88,10,16241.77,20.2,33,11,0,423111,648890,0,0
0,0,0,99999999,730,602908,9,10048.34,10.9,34.97417954,8,1,83676,423038,1,0
1,0,0,75922,1130.805251,1375928.88,10,17343.77,17.9,34.97417954,4,0,158479,422796,0,0
0,1,0,99999999,655,829559,10,8503.07,25.3,34.97417954,7,0,305710,388564,0,0
