Corto Plazo,Casa con Hipoteca,Casa Propia,Monto de prestamo,Valor de credito,Ingreso Anual,Años en trabajo actual,Deuda Mensual,Historial Crediticio,Meses desde la ultima mora,Numero de cuentas abiertas,Nro de problemas crediticios,Balance de credito actual,Maximo monto de credito,Quiebras,Gravamenes fiscales
0,0,1,107360,737,2039840,8,25668.05,17.8,81,11,0,53200,586696,0,0
0,0,0,75438,1130.805251,1375928.88,10,8433.91,12.4,60,5,0,94335,172546,0,0
0,1,0,67364,707,1086135,10,31045.24,27.6,34.97417954,11,0,934591,1199726,0,0
1,0,0,99999999,658,1190692,2,13593.74,10.7,34.97417954,5,0,128459,320562,0,0
1,0,0,345796,1130.805251,1375928.88,10,23774.7,19.7,50,10,0,181317,310574,0,0
0,0,0,263824,743,721563,5,12681.55,19,34.97417954,7,0,183540,582252,0,0
1,1,0,354596,653,2143751,7,23938.48,25.2,34.97417954,8,0,363299,430144,0,0
0,1,0,89870,1130.805251,1375928.88,1,19048.64,16.8,34.97417954,10,0,503025,678854,0,0
1,0,1,518254,1130.805251,1375928.88,4,14706.57,7.8,34.97417954,10,0,90839,287386,0,0
1,0,0,77990,729,624891,2,9993.05,14.5,34.97417954,3,0,26315,43340,0,0
1,0,0,223674,1130.805251,1375928.88,1,14648.81,21.9,20,8,0,311372,722524,0,0
0,0,0,99999999,728,563901,10,8646.52,8.8,34.97417954,5,0,64201,100078,0,0
0,0,0,335566,680,736326,6,19942.4,13.4,34.97417954,10,0,281219,435336,0,0
0,1,0,45892,712,2238504,10,21825.49,29.8,50,10,1,35397,157674,1,0
0,1,0,99999999,749,1238344,9,3890.44,28.4,34.97417954,6,0,10412,66286,0,0
0,1,0,440506,705,1941040,3,8572.99,17,34.97417954,12,0,213522,526020,0,0
0,0,0,393712,7460,1208951,1,5289.22,18.2,0,3,0,30457,291390,0.115540473,0
0,0,0,109868,704,1613062,7,20297.7,22.3,34.97417954,9,0,125628,393162,0,0
0,1,0,33374,698,1238990,5,28806.47,25.6,39,20,0,363109,544610,0,0
0,1,0,779240,741,2299665,3,24529.76,23.7,59,9,0,1997394,4788322,0,0
0,1,0,121880,706,1315636,4,22694.74,43.8,15,14,0,129162,302742,0,0
0,0,0,107954,1130.805251,1375928.88,8,3898.61,10.5,55,21,1,74613,599984,0,1
0,0,0,224290,1130.805251,1375928.88,4,9079.91,10.3,34.97417954,7,0,114494,422224,0,0
0,1,0,194678,1130.805251,1375928.88,1,24317.72,14.6,34.97417954,11,1,13433,293436,1,0
0,0,0,158708,1130.805251,1375928.88,1,15006.39,13.6,2,11,1,16967,293106,1,0
0,0,0,31416,731,290757,4,4530.93,7.9,34.97417954,4,0,102524,235532,0,0
1,0,0,448228,1130.805251,1375928.88,5,9961.13,10.1,66,12,1,114304,362648,0,1
0,1,0,224598,1130.805251,1375928.88,5,16325.94,30.5,7,22,1,107616,2009788,0,1
0,0,0,266068,1130.805251,1375928.88,10,6586.92,21.2,47,5,0,78356,190608,0,0
0,1,0,112750,749,632871,10,3934.33,20,34.97417954,11,0,508440,1457236,0,0
0,1,0,173118,746,641383,1,15019.12,34,34.97417954,14,0,202958,818818,0,0
0,0,1,224906,1130.805251,1375928.88,4,6939.94,11.4,34.97417954,11,0,146224,193490,0,0
1,0,1,467588,1130.805251,1375928.88,1,594.89,14.8,34.97417954,13,0,254486,1099538,0,0
0,1,0,218086,742,2354347,10,50618.28,19,34.97417954,15,0,839230,4457552,0,0
0,0,0,99999999,742,1243113,5,16740.71,22.9,34.97417954,18,0,230052,1178672,0,0
0,0,0,99999999,729,1467655,8,4048.14,19,26,4,0,74746,125598,0,0
0,0,0,99999999,717,1693755,1,14255.7,10.5,16,5,0,32604,100100,0,0
0,1,0,99616,1130.805251,1375928.88,10,18023.59,28.8,72,8,0,243998,648010,0,0
